date,vw_ret_d,vw_ret_x,ew_ret_d,ew_ret_x
4/27/17,0.000718,0.000614,-0.000224,-0.000375
4/28/17,-0.001755,-0.001764,-0.004835,-0.004844
5/1/17,0.001752,0.001749,-0.000576,-0.000584
5/2/17,0.001156,0.001156,0.00125,0.00125
5/3/17,-0.001165,-0.001364,-0.003332,-0.003487
5/4/17,0.000778,0.000723,0.000553,0.000452
5/5/17,0.004036,0.004022,0.006553,0.006528
5/8/17,0.00012,-0.000127,-0.001935,-0.002092
5/9/17,-0.00084,-0.000881,-0.000457,-0.000516
5/10/17,0.001544,0.001131,0.003432,0.00328
5/11/17,-0.001886,-0.002196,-0.004173,-0.004361
5/12/17,-0.001505,-0.001524,-0.004596,-0.004657
5/15/17,0.004893,0.004775,0.006111,0.005991
5/16/17,-0.000532,-0.000728,-0.002905,-0.002968
5/17/17,-0.017765,-0.018071,-0.015878,-0.016129
5/18/17,0.003894,0.003876,0.002684,0.002624
5/19/17,0.006803,0.006778,0.008082,0.008049
5/22/17,0.005194,0.005177,0.005394,0.005369
5/23/17,0.001866,0.001842,-0.000059,-0.00013
5/24/17,0.002619,0.002578,0.001905,0.001808
5/25/17,0.004637,0.004504,0.003724,0.003676
5/26/17,0.000442,0.000315,0.000073,-0.000067
5/30/17,-0.001077,-0.001233,-0.002076,-0.002222
5/31/17,-0.000246,-0.000398,0.000635,0.000454
6/1/17,0.00779,0.007666,0.011059,0.010908
6/2/17,0.003729,0.003714,0.001007,0.000979
6/5/17,-0.001125,-0.001162,-0.002579,-0.002659
6/6/17,-0.002917,-0.00292,-0.003632,-0.003643
6/7/17,0.001804,0.001599,0.000609,0.000329
6/8/17,0.000242,0.000203,0.000991,0.000952
6/9/17,-0.001078,-0.00108,0.004631,0.004626
6/12/17,-0.000905,-0.000978,0.001782,0.001672
6/13/17,0.004788,0.004532,0.005686,0.005404
6/14/17,-0.000869,-0.000939,-0.002349,-0.002449
6/15/17,-0.002126,-0.002305,-0.00213,-0.002228
6/16/17,-0.000004,-0.000012,0.000131,0.000115
6/19/17,0.008362,0.008349,0.006587,0.006544
6/20/17,-0.006614,-0.006624,-0.008661,-0.008685
6/21/17,-0.000311,-0.000395,-0.002824,-0.002897
